id,name,latitude,longitude
site_5556,"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531
site_5582,"Sector-53, Chandigarh - CPCC",30.719859,76.738637
site_5583,"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039
site_5584,"Vibhab Nagar, Firozabad - UPPCB",27.1594,78.3953
site_5585,"Sardar Patel Inter College, Baghpat - UPPCB",28.964949,77.278761
site_5586,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991
site_5587,"Bardowali, Agartala - Tripura SPCB",23.8175497,91.2726974
site_5591,"Manipur University, Imphal - Manipur PCB",24.7524239,93.9286218
site_5592,"DM College of Science, Imphal - Manipur PCB",24.8207389,93.9423085
site_5593,"JN Stadium, Shillong - Meghalaya PCB",25.5803419,91.8942571
site_5594,"Doon University, Dehradun - UKPCB",30.269444,78.044167
site_5595,"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864
site_5596,"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959
site_5597,"IITH Kandi, Hyderabad - TSPCB",17.585705,78.126199
site_5598,"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437
site_5599,"Kompally Municipal Office, Hyderabad - TSPCB",17.544899,78.486949
site_5600,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354
site_5601,"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708
site_5602,"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.286195
site_5603,"Kalindi Kunj, Khurja - UPPCB",28.2348927,77.8683002
site_5604,"Kokapet, Hyderabad - TSPCB",17.393559,78.339194
site_5605,"Crescent University, Chengalpattu - TNPCB",12.8777316,80.0834807
site_5606,"Keelapalur, Ariyalur - TNPCB",11.06825,79.07033
site_5607,"Kumaran College, Tirupur - TNPCB",11.0973603,77.3228673
site_5608,"Mendonsa Colony, Dindigul - TNPCB",10.358535,77.984321
site_5611,"Semmandalam, Cuddalore - TNPCB",11.7637683,79.7499835
site_5612,"SIPCOT Phase-1, Hosur - TNPCB",12.746998,77.813811
site_5615,"Vasanthapuram, Vellore - TNPCB",12.909494,79.131861
site_5618,"Gandhi Nagar_Ennore, Chennai - TNPCB",13.218341,80.32027
site_5619,"Kilambi, Kanchipuram - TNPCB",12.864618,79.659968
site_5620,"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362
site_5621,"Kudikadu, Cuddalore - TNPCB",11.6829898,79.7532099
site_5623,"PSG College of Arts and Science, Coimbatore - TNPCB",11.0328,77.0349
site_5624,"Bombay Castel, Ooty - TNPCB",11.4068288,76.7138973
site_5626,"Bharathidasan University, Palkalaiperur - TNPCB",10.681158,78.741746
site_5632,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027
site_5638,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381
