id,name,latitude,longitude,state,city,start_month,start_month_num,year
site_162,"BTM Layout, Bengaluru - CPCB",12.913521800000002,77.5950804,Karnataka,Bengaluru,January,1,2010
site_1553,"Bapuji Nagar, Bengaluru - KSPCB",12.951913000000001,77.539784,Karnataka,Bengaluru,June,6,2018
site_1554,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,Karnataka,Bengaluru,June,6,2018
site_1556,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920983999999999,77.584908,Karnataka,Bengaluru,June,6,2018
site_1558,"Silk Board, Bengaluru - KSPCB",12.917347999999999,77.622813,Karnataka,Bengaluru,June,6,2018
site_5678,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,Karnataka,Bengaluru,December,12,2022
site_5681,"Kasturi Nagar, Bengaluru - KSPCB",13.003872,77.66421700000001,Karnataka,Bengaluru,April,4,2023
site_5686,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,Karnataka,Bengaluru,February,2,2023
site_5729,"Jigani, Bengaluru - KSPCB",12.7816279,77.6299145,Karnataka,Bengaluru,April,4,2023
site_5418,"Naubad, Bidar - KSPCB",17.930305999999998,77.48219399999999,Karnataka,Bidar,January,1,2021
site_5124,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,Karnataka,Chamarajanagar,July,7,2019
site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418,Karnataka,Chikkaballapur,June,6,2018
site_5265,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.79705600000001,Karnataka,Chikkamagaluru,January,1,2020
site_5422,"Devaraj Urs Badavane, Davanagere - KSPCB",14.4758,75.9052,Karnataka,Davanagere,January,1,2021
site_5638,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,Karnataka,Dharwad,August,8,2022
site_5419,"Panchal Nagar, Gadag - KSPCB",15.411456,75.638133,Karnataka,Gadag,January,1,2021
site_5448,"B.Katihalli, Hassan - KSPCB",13.008556,76.125258,Karnataka,Hassan,March,3,2021
site_5420,"Ashwini Nagar, Haveri - KSPCB",14.7918,75.3896,Karnataka,Haveri,April,4,2022
site_1447,"Deshpande Nagar, Hubballi - KSPCB",15.351773000000001,75.140726,Karnataka,Hubballi,January,1,2015
site_5680,"Lingaraj Nagar, Hubballi - KSPCB",15.3714823,75.1160168,Karnataka,Hubballi,December,12,2022
site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",17.321993,76.82262800000001,Karnataka,Kalaburagi,July,7,2018
site_5679,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",17.336318,76.847397,Karnataka,Kalaburagi,December,12,2022
site_1551,"Tamaka Ind. Area, Kolar - KSPCB",13.1276288,78.1570122,Karnataka,Kolar,June,6,2018
site_5415,"Diwator Nagar, Koppal - KSPCB",15.347629999999999,76.18176700000001,Karnataka,Koppal,December,12,2020
site_5391,"Stuart Hill, Madikeri - KSPCB",12.415911,75.73505,Karnataka,Madikeri,October,10,2020
site_5421,"Kadri, Mangalore - KSPCB",12.88925,74.85300000000001,Karnataka,Mangalore,January,1,2021
site_5125,"Hebbal 1st Stage, Mysuru - KSPCB",12.210410000000001,76.37376,Karnataka,Mysuru,July,7,2019
site_5414,"Haji Colony, Raichur - KSPCB",16.208139000000003,77.348417,Karnataka,Raichur,December,12,2020
site_5255,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,Karnataka,Ramanagara,September,9,2019
site_5266,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.55591700000001,Karnataka,Shivamogga,January,1,2020
site_5682,"Thimmalapura, Tumakuru - KSPCB",13.377516,77.09907199999999,Karnataka,Tumakuru,December,12,2022
site_5433,"Brahmagiri, Udupi - KSPCB",13.34194444,74.74694444,Karnataka,Udupi,February,2,2021
site_5267,"Ibrahimpur, Vijayapura - KSPCB",16.802639000000003,75.72269399999999,Karnataka,Vijayapura,January,1,2020
site_5254,"Collector Office, Yadgir - KSPCB",16.7602,77.1428,Karnataka,Yadgir,September,9,2019
