,S.No.,State,City,Station Name,Current AQI value
307,308,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",Insufficient data available in last 24 hours.
308,309,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",Insufficient data available in last 24 hours.
309,310,Rajasthan,Kota,"Nayapura, Kota - RSPCB",Insufficient data available in last 24 hours.
310,311,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",274
311,312,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",103
312,313,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",Insufficient data available in last 24 hours.
313,314,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",Insufficient data available in last 24 hours.
314,315,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",170
315,316,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",105
316,317,Tamil Nadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB",46
317,318,Tamil Nadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",Insufficient data available in last 24 hours.
